split,category,item,count,proportion,full_proportion,difference,train,validation,test,date_min,date_max,small_project,boundary_equal_timestamp
train,project,apache/zookeeper,194,0.004619267584170675,0.004616974464964331,2.2931192063440145e-06,,,,,,,
train,project,cpp/godot,1619,0.038549454735939806,0.03855257017134476,-3.1154354049531263e-06,,,,,,,
train,project,cpp/krita,4951,0.11788656602695366,0.11789119274618308,-4.626719229419707e-06,,,,,,,
train,project,cpp/opencv,1830,0.04357350350016667,0.04356957130475365,3.932195413024198e-06,,,,,,,
train,project,python/cpython,3853,0.09174246392685366,0.09175611707447164,-1.3653147617975758e-05,,,,,,,
train,project,python/django,3857,0.09183770655745511,0.09183945596373091,-1.7494062758000029e-06,,,,,,,
train,project,python/flask,687,0.016357921805800275,0.01635109007267151,6.831733128764839e-06,,,,,,,
validation,language,cpp,1800,0.20004445432318294,0.20001333422228149,3.1120100901449455e-05,,,,,,,
validation,language,java,5398,0.5999110913536342,0.6000400026668444,-0.00012891131321024485,,,,,,,
validation,language,python,1800,0.20004445432318294,0.19994666311087406,9.779121230887866e-05,,,,,,,
validation,buggy,0,6916,0.7686152478328517,0.7438162544169611,0.024798993415890647,,,,,,,
validation,buggy,1,2082,0.23138475216714827,0.25618374558303886,-0.02479899341589059,,,,,,,
validation,language_buggy,cpp|buggy=0,1310,0.14558790842409425,0.13324221614774318,0.012345692276351072,,,,,,,
validation,language_buggy,cpp|buggy=1,490,0.05445654589908869,0.0667711180745383,-0.012314572175449609,,,,,,,
validation,language_buggy,java|buggy=0,4456,0.4952211602578351,0.479631975465031,0.015589184792804078,,,,,,,
validation,language_buggy,java|buggy=1,942,0.10468993109579906,0.12040802720181346,-0.015718096106014393,,,,,,,
validation,language_buggy,python|buggy=0,1150,0.12780617915092243,0.13094206280418694,-0.003135883653264504,,,,,,,
validation,language_buggy,python|buggy=1,650,0.0722382751722605,0.0690046003066871,0.0032336748655733966,,,,,,,
validation,project,apache/activemq,69,0.007668370749055345,0.007667177811854124,1.1929372012216971e-06,,,,,,,
validation,project,apache/camel,1128,0.1253611913758613,0.12535835722381491,2.8341520463825987e-06,,,,,,,
validation,project,apache/cassandra,133,0.014781062458324072,0.0148509900660044,-6.992760768032708e-05,,,,,,,
validation,project,apache/flink,917,0.10191153589686597,0.10182345489699313,8.808099987284157e-05,,,,,,,
validation,project,apache/groovy,223,0.024783285174483218,0.02476831788785919,1.4967286624027742e-05,,,,,,,
validation,project,apache/hadoop,950,0.10557901755945766,0.10555703713580905,2.1980423648607084e-05,,,,,,,
validation,project,apache/hbase,407,0.04523227383863081,0.045203013534235614,2.9260304395192782e-05,,,,,,,
validation,project,apache/hive,393,0.04367637252722827,0.04368624574971665,-9.873222488375466e-06,,,,,,,
validation,project,apache/ignite,642,0.07134918870860191,0.07132142142809521,2.7767280506699188e-05,,,,,,,
validation,project,apache/kafka,282,0.031340297843965324,0.03141876125075005,-7.84634067847248e-05,,,,,,,
validation,project,apache/spark,100,0.011113580795732384,0.011134075605040336,-2.0494809307951625e-05,,,,,,,
validation,project,apache/zeppelin,113,0.012558346299177596,0.012634175611707448,-7.582931252985217e-05,,,,,,,
validation,project,apache/zookeeper,41,0.004556568126250278,0.004616974464964331,-6.040633871405316e-05,,,,,,,
validation,project,cpp/godot,347,0.03856412536119137,0.03855257017134476,1.1555189846614022e-05,,,,,,,
validation,project,cpp/krita,1061,0.1179150922427206,0.11789119274618308,2.389949653752721e-05,,,,,,,
validation,project,cpp/opencv,392,0.04356523671927095,0.04356957130475365,-4.334585482698716e-06,,,,,,,
validation,project,python/cpython,826,0.0917981773727495,0.09175611707447164,4.2060298277871166e-05,,,,,,,
validation,project,python/django,827,0.09190931318070682,0.09183945596373091,6.985721697590208e-05,,,,,,,
validation,project,python/flask,147,0.016336963769726605,0.01635109007267151,-1.4126302944904995e-05,,,,,,,
test,language,cpp,1800,0.2,0.20001333422228149,-1.3334222281474739e-05,,,,,,,
test,language,java,5401,0.6001111111111112,0.6000400026668444,7.110844426672092e-05,,,,,,,
test,language,python,1799,0.1998888888888889,0.19994666311087406,-5.777422198516291e-05,,,,,,,
test,buggy,0,7624,0.8471111111111111,0.7438162544169611,0.10329485669415006,,,,,,,
test,buggy,1,1376,0.15288888888888888,0.25618374558303886,-0.10329485669414998,,,,,,,
test,language_buggy,cpp|buggy=0,1435,0.15944444444444444,0.13324221614774318,0.02620222829670127,,,,,,,
test,language_buggy,cpp|buggy=1,365,0.04055555555555555,0.0667711180745383,-0.026215562518982743,,,,,,,
test,language_buggy,java|buggy=0,4828,0.5364444444444444,0.479631975465031,0.05681246897941339,,,,,,,
test,language_buggy,java|buggy=1,573,0.06366666666666666,0.12040802720181346,-0.05674136053514679,,,,,,,
test,language_buggy,python|buggy=0,1361,0.15122222222222223,0.13094206280418694,0.020280159418035293,,,,,,,
test,language_buggy,python|buggy=1,438,0.048666666666666664,0.0690046003066871,-0.020337933640020442,,,,,,,
test,project,apache/activemq,69,0.007666666666666666,0.007667177811854124,-5.111451874574569e-07,,,,,,,
test,project,apache/camel,1128,0.12533333333333332,0.12535835722381491,-2.502389048159026e-05,,,,,,,
test,project,apache/cassandra,134,0.014888888888888889,0.0148509900660044,3.7898822884489466e-05,,,,,,,
test,project,apache/flink,916,0.10177777777777777,0.10182345489699313,-4.567711921535378e-05,,,,,,,
test,project,apache/groovy,223,0.024777777777777777,0.02476831788785919,9.459889918586595e-06,,,,,,,
test,project,apache/hadoop,950,0.10555555555555556,0.10555703713580905,-1.4815802534956513e-06,,,,,,,
test,project,apache/hbase,407,0.04522222222222222,0.045203013534235614,1.920868798660491e-05,,,,,,,
test,project,apache/hive,393,0.043666666666666666,0.04368624574971665,-1.9579083049982293e-05,,,,,,,
test,project,apache/ignite,642,0.07133333333333333,0.07132142142809521,1.191190523812391e-05,,,,,,,
test,project,apache/kafka,283,0.03144444444444444,0.03141876125075005,2.5683193694392425e-05,,,,,,,
test,project,apache/spark,100,0.011111111111111112,0.011134075605040336,-2.2964493929224228e-05,,,,,,,
test,project,apache/zeppelin,114,0.012666666666666666,0.012634175611707448,3.249105495921854e-05,,,,,,,
test,project,apache/zookeeper,42,0.004666666666666667,0.004616974464964331,4.9692201702335875e-05,,,,,,,
test,project,cpp/godot,347,0.03855555555555556,0.03855257017134476,2.9853842107990802e-06,,,,,,,
test,project,cpp/krita,1061,0.11788888888888889,0.11789119274618308,-2.3038572941891378e-06,,,,,,,
test,project,cpp/opencv,392,0.043555555555555556,0.04356957130475365,-1.401574919809162e-05,,,,,,,
test,project,python/cpython,826,0.09177777777777778,0.09175611707447164,2.1660703306142226e-05,,,,,,,
test,project,python/django,826,0.09177777777777778,0.09183945596373091,-6.167818595313734e-05,,,,,,,
test,project,python/flask,147,0.01633333333333333,0.01635109007267151,-1.77567393381782e-05,,,,,,,
project_summary,project_split,apache/activemq,460,,,,322.0,69.0,69.0,2016-05-16T15:24:50+00:00,2019-12-11T14:05:50+00:00,False,False
project_summary,project_split,apache/camel,7521,,,,5265.0,1128.0,1128.0,2016-05-17T04:00:33+00:00,2019-12-26T11:31:48+00:00,False,False
project_summary,project_split,apache/cassandra,891,,,,624.0,133.0,134.0,2016-05-17T09:22:21+00:00,2019-12-09T15:32:35+00:00,False,False
project_summary,project_split,apache/flink,6109,,,,4276.0,917.0,916.0,2016-05-16T22:18:42+00:00,2019-12-26T07:37:50+00:00,False,False
project_summary,project_split,apache/groovy,1486,,,,1040.0,223.0,223.0,2016-05-17T11:06:50+00:00,2019-12-25T10:49:51+00:00,False,False
project_summary,project_split,apache/hadoop,6333,,,,4433.0,950.0,950.0,2016-05-16T15:40:23+00:00,2019-12-25T05:37:25+00:00,False,False
project_summary,project_split,apache/hbase,2712,,,,1898.0,407.0,407.0,2016-05-17T03:34:04+00:00,2019-12-25T20:38:02+00:00,False,False
project_summary,project_split,apache/hive,2621,,,,1835.0,393.0,393.0,2016-05-16T17:10:16+00:00,2019-12-20T13:55:26+00:00,False,False
project_summary,project_split,apache/ignite,4279,,,,2995.0,642.0,642.0,2016-05-16T12:23:09+00:00,2019-12-26T12:17:11+00:00,False,False
project_summary,project_split,apache/kafka,1885,,,,1320.0,282.0,283.0,2016-05-18T18:01:27+00:00,2019-12-20T01:05:19+00:00,False,False
project_summary,project_split,apache/spark,668,,,,468.0,100.0,100.0,2016-05-17T13:20:47+00:00,2019-12-26T17:39:53+00:00,False,False
project_summary,project_split,apache/zeppelin,758,,,,531.0,113.0,114.0,2016-05-16T16:56:24+00:00,2019-12-20T14:52:21+00:00,False,False
project_summary,project_split,apache/zookeeper,277,,,,194.0,41.0,42.0,2016-06-01T22:59:24+00:00,2019-12-03T18:12:30+00:00,False,False
project_summary,project_split,cpp/godot,2313,,,,1619.0,347.0,347.0,2022-10-01T20:12:28+00:00,2026-09-03T16:14:44+00:00,False,False
project_summary,project_split,cpp/krita,7073,,,,4951.0,1061.0,1061.0,2021-07-14T03:56:05+00:00,2026-09-04T12:25:31+00:00,False,False
project_summary,project_split,cpp/opencv,2614,,,,1830.0,392.0,392.0,2019-12-19T11:26:48+00:00,2026-09-04T11:54:49+00:00,False,False
project_summary,project_split,python/cpython,5505,,,,3853.0,826.0,826.0,1990-10-13T19:23:40+00:00,2000-10-06T21:10:34+00:00,False,False
project_summary,project_split,python/django,5510,,,,3857.0,827.0,826.0,2016-05-16T01:54:03+00:00,2026-09-04T21:24:26+00:00,False,False
project_summary,project_split,python/flask,981,,,,687.0,147.0,147.0,2016-01-02T18:56:02+00:00,2026-08-16T18:35:31+00:00,False,False
