rank,feature,feature_type,mi_score
133,pca_80,CodeBERT_PCA,0.0018697691320610499
134,pca_377,CodeBERT_PCA,0.001851912310858017
135,pca_359,CodeBERT_PCA,0.001847496004708793
136,pca_116,CodeBERT_PCA,0.0018430515737151154
137,pca_297,CodeBERT_PCA,0.0018075850418868278
138,pca_201,CodeBERT_PCA,0.0017424254268079142
139,pca_69,CodeBERT_PCA,0.0017318750068491262
140,pca_267,CodeBERT_PCA,0.0017092359364849763
141,pca_124,CodeBERT_PCA,0.0016940175409929648
142,pca_130,CodeBERT_PCA,0.001684991109456968
143,pca_25,CodeBERT_PCA,0.0016849841151056477
144,pca_295,CodeBERT_PCA,0.001682679574520618
145,pca_10,CodeBERT_PCA,0.0016599270376682629
146,pca_47,CodeBERT_PCA,0.0016567272218199758
147,pca_24,CodeBERT_PCA,0.001654455864899429
148,pca_202,CodeBERT_PCA,0.0016231082761464233
149,pca_249,CodeBERT_PCA,0.0015978198813175748
150,pca_247,CodeBERT_PCA,0.001569123542885409
151,pca_215,CodeBERT_PCA,0.0015308950408698951
152,pca_204,CodeBERT_PCA,0.0015118267364480076
153,pca_149,CodeBERT_PCA,0.001511296516702787
154,pca_233,CodeBERT_PCA,0.001453056631806282
155,pca_205,CodeBERT_PCA,0.0014519823272456378
156,pca_152,CodeBERT_PCA,0.001451472198097603
157,pca_268,CodeBERT_PCA,0.0014495899288522462
158,pca_20,CodeBERT_PCA,0.0013962500234152575
159,pca_343,CodeBERT_PCA,0.0013707394138442464
160,pca_227,CodeBERT_PCA,0.0013623914317064667
161,pca_181,CodeBERT_PCA,0.0013319360994989982
162,pca_340,CodeBERT_PCA,0.0012996605025792363
163,pca_317,CodeBERT_PCA,0.0012365025149723152
164,pca_244,CodeBERT_PCA,0.001235458241710008
165,pca_256,CodeBERT_PCA,0.001210767738523133
166,pca_100,CodeBERT_PCA,0.0012067645907729574
167,pca_43,CodeBERT_PCA,0.0012062923285933724
168,pca_72,CodeBERT_PCA,0.0011535775997191244
169,pca_96,CodeBERT_PCA,0.0011504533205060063
170,pca_275,CodeBERT_PCA,0.0011229941663688514
171,pca_161,CodeBERT_PCA,0.0011195173528302238
172,pca_58,CodeBERT_PCA,0.0010746508473333805
173,pca_305,CodeBERT_PCA,0.001074515585689939
174,pca_81,CodeBERT_PCA,0.0010712827222174592
175,pca_174,CodeBERT_PCA,0.0010406540282807963
176,pca_14,CodeBERT_PCA,0.0010317316543131394
177,pca_15,CodeBERT_PCA,0.0010035596446871242
178,pca_163,CodeBERT_PCA,0.0009975536228679083
179,pca_222,CodeBERT_PCA,0.0009930036607483927
180,pca_345,CodeBERT_PCA,0.0009707599628887564
181,pca_366,CodeBERT_PCA,0.0009653509887976863
182,pca_133,CodeBERT_PCA,0.0009410654556611942
183,pca_105,CodeBERT_PCA,0.0009295279787731037
184,pca_277,CodeBERT_PCA,0.0009272939711564288
185,pca_162,CodeBERT_PCA,0.0009108746602632944
186,pca_35,CodeBERT_PCA,0.0009067713090711305
187,pca_197,CodeBERT_PCA,0.0009020130635846169
188,pca_375,CodeBERT_PCA,0.0008906005434707875
189,pca_192,CodeBERT_PCA,0.0008885600725072607
190,pca_253,CodeBERT_PCA,0.0008586051350119028
191,pca_165,CodeBERT_PCA,0.0008557300826503855
192,pca_12,CodeBERT_PCA,0.0008431325309676829
193,pca_13,CodeBERT_PCA,0.0008419307923921426
194,pca_211,CodeBERT_PCA,0.0008393698518223136
195,pca_132,CodeBERT_PCA,0.0008226088505709495
196,pca_261,CodeBERT_PCA,0.0007687829005271762
197,pca_71,CodeBERT_PCA,0.00076519280112608
198,pca_32,CodeBERT_PCA,0.0007629678263059159
199,pca_11,CodeBERT_PCA,0.0007554523325701279
200,pca_289,CodeBERT_PCA,0.0007495557989392054
201,pca_207,CodeBERT_PCA,0.0007479314944069948
202,pca_128,CodeBERT_PCA,0.0007379516769094874
203,pca_196,CodeBERT_PCA,0.0007325701518217098
204,pca_235,CodeBERT_PCA,0.0007234996715230757
205,pca_164,CodeBERT_PCA,0.0007093313013779579
206,pca_2,CodeBERT_PCA,0.000707555425657036
207,pca_376,CodeBERT_PCA,0.0007027573819542443
208,pca_245,CodeBERT_PCA,0.0006507854382209466
209,pca_309,CodeBERT_PCA,0.0006368537835959032
210,pca_111,CodeBERT_PCA,0.0006270711904243775
211,pca_102,CodeBERT_PCA,0.0006251836639761255
212,pca_350,CodeBERT_PCA,0.0006237989389363818
213,pca_121,CodeBERT_PCA,0.0006020375800861455
214,pca_151,CodeBERT_PCA,0.0005793836119913909
215,pca_219,CodeBERT_PCA,0.0005762902219226262
216,pca_135,CodeBERT_PCA,0.0005719012086653485
217,pca_22,CodeBERT_PCA,0.0005483815321458696
218,pca_57,CodeBERT_PCA,0.0005415521010765367
219,pca_126,CodeBERT_PCA,0.0005312964808337206
220,pca_324,CodeBERT_PCA,0.0005292981669866581
221,pca_276,CodeBERT_PCA,0.00048767647723213514
222,pca_200,CodeBERT_PCA,0.00047726041511331196
223,pca_299,CodeBERT_PCA,0.00045748511468102215
224,pca_166,CodeBERT_PCA,0.00044120591130480946
225,pca_338,CodeBERT_PCA,0.0004124364293593974
226,pca_190,CodeBERT_PCA,0.00040290494012484857
227,pca_114,CodeBERT_PCA,0.0004004566386477393
228,pca_316,CodeBERT_PCA,0.00039066685006350355
229,pca_113,CodeBERT_PCA,0.00038545392173183757
230,pca_290,CodeBERT_PCA,0.00034890163076539693
231,pca_112,CodeBERT_PCA,0.0003382249923646885
232,pca_138,CodeBERT_PCA,0.00032001797054337366
233,pca_191,CodeBERT_PCA,0.0003018931694414029
234,pca_382,CodeBERT_PCA,0.00030122274991595255
235,pca_374,CodeBERT_PCA,0.0002835001108969504
236,pca_7,CodeBERT_PCA,0.0002797119209438925
237,pca_50,CodeBERT_PCA,0.0002772523973348928
238,pca_189,CodeBERT_PCA,0.0002696382447584522
239,pca_178,CodeBERT_PCA,0.00024367536826841452
240,pca_122,CodeBERT_PCA,0.00024192891921570592
241,pca_252,CodeBERT_PCA,0.0002061666440562604
242,pca_353,CodeBERT_PCA,0.0001679887450212192
243,pca_278,CodeBERT_PCA,0.00015172925846984597
244,pca_216,CodeBERT_PCA,0.00013671719480790046
245,pca_119,CodeBERT_PCA,0.00013570337884649675
246,pca_175,CodeBERT_PCA,0.00010434712701679061
247,pca_298,CodeBERT_PCA,6.334864653534389e-05
248,pca_82,CodeBERT_PCA,5.948661625310159e-05
249,pca_73,CodeBERT_PCA,1.0613973800754906e-05
250,pca_349,CodeBERT_PCA,0.0
251,pca_371,CodeBERT_PCA,0.0
252,pca_70,CodeBERT_PCA,0.0
253,pca_351,CodeBERT_PCA,0.0
254,pca_183,CodeBERT_PCA,0.0
255,pca_185,CodeBERT_PCA,0.0
256,pca_179,CodeBERT_PCA,0.0
257,pca_379,CodeBERT_PCA,0.0
258,pca_380,CodeBERT_PCA,0.0
259,pca_186,CodeBERT_PCA,0.0
260,pca_188,CodeBERT_PCA,0.0
261,pca_193,CodeBERT_PCA,0.0
262,pca_167,CodeBERT_PCA,0.0
263,pca_180,CodeBERT_PCA,0.0
264,pca_373,CodeBERT_PCA,0.0
265,pca_367,CodeBERT_PCA,0.0
266,pca_364,CodeBERT_PCA,0.0
267,pca_361,CodeBERT_PCA,0.0
268,pca_362,CodeBERT_PCA,0.0
269,pca_232,CodeBERT_PCA,0.0
270,pca_230,CodeBERT_PCA,0.0
271,pca_229,CodeBERT_PCA,0.0
272,pca_154,CodeBERT_PCA,0.0
273,pca_153,CodeBERT_PCA,0.0
274,pca_150,CodeBERT_PCA,0.0
275,pca_51,CodeBERT_PCA,0.0
276,pca_49,CodeBERT_PCA,0.0
277,pca_228,CodeBERT_PCA,0.0
278,pca_45,CodeBERT_PCA,0.0
279,pca_44,CodeBERT_PCA,0.0
280,pca_40,CodeBERT_PCA,0.0
281,pca_226,CodeBERT_PCA,0.0
282,pca_39,CodeBERT_PCA,0.0
283,pca_224,CodeBERT_PCA,0.0
284,pca_225,CodeBERT_PCA,0.0
285,pca_198,CodeBERT_PCA,0.0
286,pca_199,CodeBERT_PCA,0.0
287,pca_223,CodeBERT_PCA,0.0
288,pca_218,CodeBERT_PCA,0.0
289,pca_214,CodeBERT_PCA,0.0
290,pca_217,CodeBERT_PCA,0.0
291,pca_209,CodeBERT_PCA,0.0
292,pca_210,CodeBERT_PCA,0.0
293,pca_208,CodeBERT_PCA,0.0
294,pca_203,CodeBERT_PCA,0.0
295,pca_171,CodeBERT_PCA,0.0
296,pca_168,CodeBERT_PCA,0.0
297,pca_172,CodeBERT_PCA,0.0
298,pca_173,CodeBERT_PCA,0.0
299,pca_194,CodeBERT_PCA,0.0
300,pca_195,CodeBERT_PCA,0.0
301,pca_352,CodeBERT_PCA,0.0
302,pca_356,CodeBERT_PCA,0.0
303,pca_354,CodeBERT_PCA,0.0
304,pca_378,CodeBERT_PCA,0.0
305,pca_263,CodeBERT_PCA,0.0
306,pca_31,CodeBERT_PCA,0.0
307,pca_33,CodeBERT_PCA,0.0
308,pca_34,CodeBERT_PCA,0.0
309,pca_38,CodeBERT_PCA,0.0
310,pca_28,CodeBERT_PCA,0.0
311,pca_37,CodeBERT_PCA,0.0
312,pca_30,CodeBERT_PCA,0.0
313,pca_143,CodeBERT_PCA,0.0
314,pca_117,CodeBERT_PCA,0.0
315,pca_269,CodeBERT_PCA,0.0
316,pca_265,CodeBERT_PCA,0.0
317,pca_272,CodeBERT_PCA,0.0
318,pca_255,CodeBERT_PCA,0.0
319,pca_250,CodeBERT_PCA,0.0
320,pca_251,CodeBERT_PCA,0.0
321,pca_246,CodeBERT_PCA,0.0
322,pca_148,CodeBERT_PCA,0.0
323,pca_144,CodeBERT_PCA,0.0
324,pca_145,CodeBERT_PCA,0.0
325,pca_134,CodeBERT_PCA,0.0
326,pca_21,CodeBERT_PCA,0.0
327,pca_139,CodeBERT_PCA,0.0
328,pca_141,CodeBERT_PCA,0.0
329,pca_238,CodeBERT_PCA,0.0
330,pca_240,CodeBERT_PCA,0.0
331,pca_237,CodeBERT_PCA,0.0
332,pca_236,CodeBERT_PCA,0.0
333,pca_106,CodeBERT_PCA,0.0
334,pca_108,CodeBERT_PCA,0.0
335,pca_99,CodeBERT_PCA,0.0
336,pca_101,CodeBERT_PCA,0.0
337,pca_98,CodeBERT_PCA,0.0
338,pca_285,CodeBERT_PCA,0.0
339,pca_286,CodeBERT_PCA,0.0
340,pca_95,CodeBERT_PCA,0.0
341,pca_281,CodeBERT_PCA,0.0
342,pca_273,CodeBERT_PCA,0.0
343,pca_283,CodeBERT_PCA,0.0
344,pca_270,CodeBERT_PCA,0.0
345,pca_264,CodeBERT_PCA,0.0
346,pca_120,CodeBERT_PCA,0.0
347,pca_125,CodeBERT_PCA,0.0
348,pca_301,CodeBERT_PCA,0.0
349,pca_313,CodeBERT_PCA,0.0
350,pca_312,CodeBERT_PCA,0.0
351,pca_311,CodeBERT_PCA,0.0
352,pca_314,CodeBERT_PCA,0.0
353,pca_319,CodeBERT_PCA,0.0
354,pca_318,CodeBERT_PCA,0.0
355,pca_322,CodeBERT_PCA,0.0
356,pca_320,CodeBERT_PCA,0.0
357,pca_60,CodeBERT_PCA,0.0
358,pca_302,CodeBERT_PCA,0.0
359,pca_303,CodeBERT_PCA,0.0
360,pca_304,CodeBERT_PCA,0.0
361,pca_310,CodeBERT_PCA,0.0
362,pca_294,CodeBERT_PCA,0.0
363,pca_296,CodeBERT_PCA,0.0
364,pca_292,CodeBERT_PCA,0.0
365,pca_86,CodeBERT_PCA,0.0
366,pca_68,CodeBERT_PCA,0.0
367,pca_67,CodeBERT_PCA,0.0
368,pca_66,CodeBERT_PCA,0.0
369,pca_63,CodeBERT_PCA,0.0
370,pca_62,CodeBERT_PCA,0.0
371,pca_61,CodeBERT_PCA,0.0
372,pca_88,CodeBERT_PCA,0.0
373,pca_330,CodeBERT_PCA,0.0
374,pca_74,CodeBERT_PCA,0.0
375,pca_78,CodeBERT_PCA,0.0
376,pca_76,CodeBERT_PCA,0.0
377,pca_79,CodeBERT_PCA,0.0
378,pca_326,CodeBERT_PCA,0.0
379,pca_329,CodeBERT_PCA,0.0
380,pca_91,CodeBERT_PCA,0.0
381,pca_55,CodeBERT_PCA,0.0
382,pca_53,CodeBERT_PCA,0.0
383,pca_83,CodeBERT_PCA,0.0
384,pca_56,CodeBERT_PCA,0.0
385,pca_334,CodeBERT_PCA,0.0
386,pca_335,CodeBERT_PCA,0.0
387,pca_333,CodeBERT_PCA,0.0
388,pca_332,CodeBERT_PCA,0.0
389,pca_341,CodeBERT_PCA,0.0
390,pca_339,CodeBERT_PCA,0.0
391,pca_344,CodeBERT_PCA,0.0
392,pca_346,CodeBERT_PCA,0.0
393,pca_348,CodeBERT_PCA,0.0
394,pca_347,CodeBERT_PCA,0.0
395,pca_358,CodeBERT_PCA,0.0
396,pca_383,CodeBERT_PCA,0.0
